"entity_ID","geo_entity","longitude","latitude","area","dist","age_Ma","geology","spec_num","end_num","max_elev","mean_temp","mean_prec","mean_homogeneity"
559,"Masafuera",-80.79197,-33.767484,56.7228,746.797,6,"volcanic",69,29,842,13.88,1178,0.2367
560,"Santa Clara",-78.942363,-33.706456,2.65,612.973,2.5,"volcanic",7,0,NA,15.28,1065,0.05775
561,"Nuutele",-171.422746,-14.063602,1.267,3912.977,3.5,"volcanic",131,0,7,27.1,3875,0.0991
562,"Nuulua",-171.410056,-14.073274,0.3714,3913.97,2.7,"volcanic",72,0,NA,NA,NA,NA
563,"Namua",-171.415599,-14.022259,0.2557,3916.014,2.7,"volcanic",107,0,NA,27.05,3894,NA
564,"Fanuatapu",-171.399702,-14.013923,0.1203,3918.008,2.7,"volcanic",53,0,NA,NA,NA,NA
566,"Tutuila",-170.717618,-14.300334,142.8775,3957.935,1.5,"volcanic",280,21,439,26.22,4915,0.2444
567,"Aunuu",-170.553464,-14.284039,1.7434,3987.557,1.5,"volcanic",88,0,5,NA,NA,0.09425
568,"Ofu",-169.663731,-14.172184,7.7343,4079.235,0.31,"volcanic",168,0,315,26.38,4644,0.2384
569,"Olosega",-169.620375,-14.178551,7.2701,4081.128,0.31,"volcanic",163,1,393,27.1,4033,0.2636
570,"Tau",-169.468214,-14.242045,59.6163,4089.434,0.05,"volcanic",222,5,891,25.55,4469,0.3116
571,"Swains",-171.078439,-11.055876,3.7105,4096.719,NA,"atoll",27,0,22,27.64,3316,0.1253
575,"Diego Garcia",72.434263,-7.339329,37.3178,1781.799,NA,"atoll",31,0,10,26.9,2641,0.08818
626,"Signy",-45.632478,-60.710018,20.7872,1664.375,NA,"fragment",2,0,NA,NA,NA,NA
634,"Prasonisi",23.094333,36.264389,0.0992,18.191,NA,"shelf",15,0,NA,18.9,526,NA
635,"Antidragonera",23.114431,36.235365,0.3404,21.104,NA,"shelf",87,0,NA,18.9,513,NA
636,"Megali Dragonera",23.110364,36.2229,0.615,22.39,NA,"shelf",108,0,NA,18.9,506.2,NA
638,"Avgo",22.997455,36.094954,0.3763,38.359,NA,"shelf",14,0,NA,18.85,537.5,NA
640,"Lidia",22.900346,36.192664,0.1033,31.781,NA,"shelf",15,0,NA,18.9,537.7,NA
675,"Gyali Island",27.121471,36.664275,4.8126,19.502,0.032,"volcanic",229,0,66,18.95,706.1,0.1965
914,"Fernando de Noronha",-32.425866,-3.856477,21.096,356.222,12.3,"volcanic",157,12,112,26.61,1546,0.1853
1064,"Sri Lanka",80.697879,7.621655,65836.7954,53.82,NA,"shelf",3219,911,2406,26.68,1673,0.4047
